Offer_ID,Offer_Name,Category,Merchant_ID,Cashback_Percentage,Reward_Points,Offer_Start_Date,Offer_End_Date
OFFER_028,Mega Rewards: Get 5% Cashback at Tata Power,Utility,MERCH_0376,5,0,2024-10-31,2025-09-30
OFFER_029,Weekend Bonanza: Get 5% Cashback at Reliance Fresh,Grocery,MERCH_0372,5,0,2025-04-25,2026-03-22
OFFER_030,Weekend Bonanza: Earn 500 Reward Points at Hard Rock Cafe,Dining_Out,MERCH_0985,0,500,2024-12-10,2025-06-17
OFFER_031,Weekend Bonanza: Earn 2000 Reward Points at AngelOne Deposit,Investment,MERCH_1854,0,2000,2025-03-31,2025-06-16
OFFER_032,Exclusive Deal: Earn 2000 Reward Points at Society Maintenance,Rent,MERCH_0626,0,2000,2024-11-09,2025-07-20
OFFER_033,First Time User: Earn 2000 Reward Points at Punjab Grill,Dining_Out,MERCH_1607,0,2000,2025-03-18,2025-05-24
OFFER_034,Mega Rewards: Earn 2000 Reward Points at NPS Contribution,Investment,MERCH_0173,0,2000,2025-07-06,2026-01-27
OFFER_035,Exclusive Deal: Get 20% Cashback at Pet Shop,Other,MERCH_0371,20,0,2025-01-02,2025-12-15
OFFER_036,Exclusive Deal: Get 5% Cashback at Bharat Petroleum,Fuel,MERCH_0139,5,0,2025-02-01,2025-07-12
OFFER_037,First Time User: Earn 5000 Reward Points at Subway,Food,MERCH_0618,0,5000,2024-11-11,2025-06-29
OFFER_038,Exclusive Deal: Get 10% Cashback at Bharat Petroleum,Fuel,MERCH_1620,10,0,2025-02-01,2025-11-24
OFFER_039,First Time User: Get 5% Cashback at H&M,Shopping,MERCH_1593,5,0,2024-10-28,2025-03-23
OFFER_040,Festive Special: Earn 200 Reward Points at Local Pub,Dining_Out,MERCH_1410,0,200,2025-01-28,2025-10-22
OFFER_041,Exclusive Deal: Get 15% Cashback at Pet Shop,Other,MERCH_1238,15,0,2025-01-24,2025-11-02
OFFER_042,Weekend Bonanza: Get 15% Cashback at DAV College,Education,MERCH_0086,15,0,2024-10-20,2025-06-02
OFFER_043,Super Cashback: Earn 2000 Reward Points at Cred RentPay,Rent,MERCH_1592,0,2000,2024-12-04,2025-02-07
OFFER_044,Festive Special: Get 5% Cashback at Booking.com,Travel,MERCH_1859,5,0,2025-05-07,2025-12-26
OFFER_045,Mega Rewards: Earn 1000 Reward Points at Spencer's,Grocery,MERCH_1367,0,1000,2025-01-26,2025-10-23
OFFER_046,Exclusive Deal: Get 15% Cashback at Shoppers Stop,Shopping,MERCH_0377,15,0,2025-07-15,2026-05-23
OFFER_047,Mega Rewards: Earn 500 Reward Points at Social,Dining_Out,MERCH_0743,0,500,2025-01-13,2025-04-28
OFFER_048,Exclusive Deal: Earn 1000 Reward Points at Hard Rock Cafe,Dining_Out,MERCH_0928,0,1000,2025-06-12,2026-02-22
OFFER_049,First Time User: Get 20% Cashback at DMart,Grocery,MERCH_1420,20,0,2025-05-08,2025-08-29
OFFER_050,Super Cashback: Earn 2000 Reward Points at Zomato,Food,MERCH_0534,0,2000,2024-11-26,2025-09-15
OFFER_051,Festive Special: Earn 2000 Reward Points at Bharat Petroleum,Fuel,MERCH_0252,0,2000,2025-01-26,2025-10-04
OFFER_052,Exclusive Deal: Earn 2000 Reward Points at ICICI Lombard,Insurance,MERCH_0580,0,2000,2025-01-24,2025-12-24
OFFER_053,First Time User: Get 5% Cashback at Adani Electricity,Utility,MERCH_0507,5,0,2024-11-04,2025-02-19
OFFER_054,First Time User: Get 10% Cashback at Shell Petrol,Fuel,MERCH_1572,10,0,2024-12-18,2025-11-14
OFFER_055,Exclusive Deal: Get 15% Cashback at Burger King,Food,MERCH_1751,15,0,2025-01-27,2025-09-03
OFFER_056,Festive Special: Earn 5000 Reward Points at Microsoft 365,Subscription,MERCH_1362,0,5000,2025-08-12,2026-02-07
OFFER_057,Weekend Bonanza: Get 5% Cashback at Netflix Premium,Subscription,MERCH_1134,5,0,2024-10-18,2024-12-27
OFFER_058,Exclusive Deal: Earn 200 Reward Points at PVR Cinemas,Entertainment,MERCH_1397,0,200,2024-11-15,2025-06-19
OFFER_059,Exclusive Deal: Get 5% Cashback at Hard Rock Cafe,Dining_Out,MERCH_0928,5,0,2025-03-28,2025-06-19
OFFER_060,Super Cashback: Get 20% Cashback at Flipkart,Shopping,MERCH_1447,20,0,2025-08-28,2026-05-19
OFFER_061,First Time User: Earn 200 Reward Points at Salon & Spa,Other,MERCH_0238,0,200,2025-04-20,2026-04-07
OFFER_062,Super Cashback: Earn 200 Reward Points at IRCTC,Travel,MERCH_0277,0,200,2025-05-10,2026-04-08
OFFER_063,Festive Special: Get 10% Cashback at Municipal Water,Utility,MERCH_1386,10,0,2024-10-26,2025-03-07
OFFER_064,Exclusive Deal: Earn 500 Reward Points at Local Pub,Dining_Out,MERCH_0108,0,500,2025-01-11,2025-03-20
OFFER_065,Weekend Bonanza: Get 20% Cashback at Max Life Insurance,Insurance,MERCH_0341,20,0,2025-07-07,2026-02-16
OFFER_066,Mega Rewards: Earn 5000 Reward Points at Booking.com,Travel,MERCH_1859,0,5000,2025-04-10,2026-02-11
OFFER_067,Mega Rewards: Earn 2000 Reward Points at Max Life Insurance,Insurance,MERCH_0435,0,2000,2024-12-06,2025-10-01
OFFER_068,Super Cashback: Get 20% Cashback at Amazon Prime,Entertainment,MERCH_1310,20,0,2025-08-09,2025-10-19
OFFER_069,Weekend Bonanza: Get 5% Cashback at NPS Contribution,Investment,MERCH_0173,5,0,2025-04-20,2026-03-10
OFFER_070,Super Cashback: Earn 2000 Reward Points at Max Life Insurance,Insurance,MERCH_0504,0,2000,2025-04-06,2026-03-10
OFFER_071,First Time User: Earn 2000 Reward Points at Reliance Fresh,Grocery,MERCH_0372,0,2000,2025-08-06,2026-02-22
OFFER_072,Mega Rewards: Get 10% Cashback at Netflix Premium,Subscription,MERCH_0509,10,0,2024-10-04,2025-06-25
OFFER_073,Super Cashback: Earn 500 Reward Points at Air India,Travel,MERCH_0796,0,500,2025-03-17,2025-12-18
OFFER_074,Festive Special: Earn 5000 Reward Points at iCloud Storage,Subscription,MERCH_1050,0,5000,2025-07-05,2026-03-15
OFFER_075,Mega Rewards: Earn 5000 Reward Points at BESCOM,Utility,MERCH_1764,0,5000,2024-12-20,2025-05-24
OFFER_076,Weekend Bonanza: Earn 1000 Reward Points at Zoomcar,Travel,MERCH_0858,0,1000,2025-08-19,2025-12-20
OFFER_077,Mega Rewards: Earn 2000 Reward Points at Reliance Petroleum,Fuel,MERCH_0121,0,2000,2025-05-07,2025-09-09
OFFER_078,Festive Special: Earn 2000 Reward Points at Reliance Fresh,Grocery,MERCH_0835,0,2000,2025-03-01,2026-02-07
OFFER_079,Exclusive Deal: Earn 5000 Reward Points at Local Kirana,Grocery,MERCH_1714,0,5000,2024-11-29,2025-06-13
OFFER_080,First Time User: Get 20% Cashback at Indian Oil,Fuel,MERCH_1194,20,0,2025-05-02,2026-02-23
OFFER_081,Super Cashback: Earn 5000 Reward Points at Youtube Premium,Subscription,MERCH_1155,0,5000,2025-01-12,2025-05-05
OFFER_082,Weekend Bonanza: Get 10% Cashback at Starbucks,Food,MERCH_0575,10,0,2024-10-14,2025-03-11
OFFER_083,Super Cashback: Get 10% Cashback at MedPlus,Healthcare,MERCH_0125,10,0,2025-04-12,2025-12-22
OFFER_084,Weekend Bonanza: Earn 1000 Reward Points at Tata Power,Utility,MERCH_0133,0,1000,2024-11-23,2025-09-25
OFFER_085,Weekend Bonanza: Earn 5000 Reward Points at H&M,Shopping,MERCH_0589,0,5000,2025-05-22,2026-02-02
OFFER_086,Super Cashback: Get 20% Cashback at Taj Dining,Dining_Out,MERCH_0223,20,0,2025-04-14,2025-12-14
OFFER_087,Mega Rewards: Get 20% Cashback at Gift Gallery,Other,MERCH_1027,20,0,2025-01-27,2025-07-23
OFFER_088,Mega Rewards: Earn 5000 Reward Points at Housing Rent Transfer,Rent,MERCH_1066,0,5000,2025-03-10,2025-09-10
OFFER_089,Super Cashback: Earn 2000 Reward Points at DMart,Grocery,MERCH_1420,0,2000,2025-03-17,2025-11-29
OFFER_090,First Time User: Get 15% Cashback at Hindustan Petroleum,Fuel,MERCH_1865,15,0,2025-05-01,2025-07-06
OFFER_091,Festive Special: Earn 2000 Reward Points at Disney+ Hotstar,Entertainment,MERCH_1282,0,2000,2025-06-29,2026-06-08
OFFER_092,Festive Special: Get 15% Cashback at Youtube Premium,Subscription,MERCH_1223,15,0,2024-12-16,2025-10-11
OFFER_093,Mega Rewards: Get 5% Cashback at NoBroker Rent,Rent,MERCH_0766,5,0,2024-12-06,2025-09-12
OFFER_094,Super Cashback: Earn 200 Reward Points at Hard Rock Cafe,Dining_Out,MERCH_0985,0,200,2025-01-05,2025-10-31
OFFER_095,Festive Special: Earn 200 Reward Points at Spencer's,Grocery,MERCH_1273,0,200,2025-08-07,2026-01-03
OFFER_096,Exclusive Deal: Earn 1000 Reward Points at Zerodha Fund,Investment,MERCH_0229,0,1000,2025-07-11,2025-11-27
OFFER_097,Mega Rewards: Earn 2000 Reward Points at Starbucks,Food,MERCH_0587,0,2000,2024-11-22,2025-07-17
OFFER_098,Weekend Bonanza: Earn 500 Reward Points at MakeMyTrip,Travel,MERCH_1340,0,500,2024-10-27,2025-04-29
OFFER_099,First Time User: Get 20% Cashback at DMart,Grocery,MERCH_1420,20,0,2025-04-22,2026-01-14
OFFER_100,Exclusive Deal: Get 10% Cashback at Shell Petrol,Fuel,MERCH_1713,10,0,2024-11-19,2025-07-07
OFFER_101,Exclusive Deal: Earn 2000 Reward Points at Local Tailor,Other,MERCH_0404,0,2000,2024-10-18,2025-06-13
OFFER_102,Weekend Bonanza: Get 5% Cashback at Spotify,Entertainment,MERCH_1413,5,0,2024-10-27,2025-06-06
OFFER_103,Mega Rewards: Earn 2000 Reward Points at DPS School,Education,MERCH_1193,0,2000,2025-08-16,2025-10-23
OFFER_104,First Time User: Earn 2000 Reward Points at BYJU'S,Education,MERCH_1767,0,2000,2025-08-09,2026-01-09
OFFER_105,Exclusive Deal: Earn 1000 Reward Points at Housing Rent Transfer,Rent,MERCH_1869,0,1000,2025-02-06,2025-10-13
OFFER_106,Exclusive Deal: Earn 200 Reward Points at IRCTC,Travel,MERCH_0103,0,200,2025-06-30,2026-05-13
OFFER_107,Exclusive Deal: Get 5% Cashback at Flipkart,Shopping,MERCH_0445,5,0,2025-04-11,2025-10-17
OFFER_108,First Time User: Earn 200 Reward Points at Groww SIP,Investment,MERCH_0789,0,200,2025-04-13,2025-07-28
OFFER_109,Mega Rewards: Get 20% Cashback at Gift Gallery,Other,MERCH_0801,20,0,2025-03-15,2025-11-30
OFFER_110,Mega Rewards: Earn 2000 Reward Points at Local Pub,Dining_Out,MERCH_0944,0,2000,2024-10-25,2025-09-17
OFFER_111,Weekend Bonanza: Get 15% Cashback at Booking.com,Travel,MERCH_1545,15,0,2024-12-30,2025-11-15
OFFER_112,Mega Rewards: Earn 200 Reward Points at Hard Rock Cafe,Dining_Out,MERCH_0928,0,200,2025-01-26,2025-05-22
OFFER_113,Festive Special: Earn 5000 Reward Points at Yatra,Travel,MERCH_0567,0,5000,2025-03-06,2025-09-07
OFFER_114,Mega Rewards: Get 10% Cashback at Groww SIP,Investment,MERCH_1856,10,0,2024-10-12,2025-03-18
OFFER_115,Mega Rewards: Earn 2000 Reward Points at Youtube Premium,Subscription,MERCH_1068,0,2000,2024-12-25,2025-09-11
OFFER_116,Mega Rewards: Earn 1000 Reward Points at Blinkit,Grocery,MERCH_1651,0,1000,2025-07-12,2026-05-15
OFFER_117,First Time User: Earn 1000 Reward Points at Max Life Insurance,Insurance,MERCH_0435,0,1000,2025-04-27,2025-10-23
OFFER_118,Exclusive Deal: Get 20% Cashback at Myntra,Shopping,MERCH_1021,20,0,2025-08-24,2026-03-13
OFFER_119,Mega Rewards: Earn 2000 Reward Points at DPS School,Education,MERCH_1089,0,2000,2024-10-21,2025-01-17
OFFER_120,First Time User: Get 5% Cashback at Salon & Spa,Other,MERCH_1519,5,0,2025-01-27,2025-11-06
OFFER_121,Festive Special: Get 15% Cashback at Youtube Premium,Subscription,MERCH_1223,15,0,2025-05-13,2025-11-11
OFFER_122,Festive Special: Earn 500 Reward Points at Simplilearn,Education,MERCH_1761,0,500,2025-05-25,2026-04-10
OFFER_123,Exclusive Deal: Earn 500 Reward Points at Social,Dining_Out,MERCH_0743,0,500,2025-09-01,2026-05-24
OFFER_124,First Time User: Earn 200 Reward Points at Municipal Water,Utility,MERCH_0656,0,200,2025-01-31,2025-08-07
OFFER_125,First Time User: Earn 500 Reward Points at IRCTC,Travel,MERCH_1020,0,500,2025-05-30,2026-05-19
OFFER_126,Mega Rewards: Get 20% Cashback at DMart,Grocery,MERCH_1973,20,0,2025-05-16,2025-08-10
OFFER_127,Mega Rewards: Get 20% Cashback at Netflix Premium,Subscription,MERCH_1134,20,0,2025-03-18,2025-08-14
OFFER_128,Weekend Bonanza: Earn 200 Reward Points at Indian Oil,Fuel,MERCH_0511,0,200,2025-03-11,2025-09-28
OFFER_129,Mega Rewards: Earn 1000 Reward Points at Adani Electricity,Utility,MERCH_1780,0,1000,2024-10-17,2025-04-15
OFFER_130,Weekend Bonanza: Earn 500 Reward Points at BookMyShow,Entertainment,MERCH_1922,0,500,2025-05-14,2026-01-08
OFFER_131,Festive Special: Get 5% Cashback at Hard Rock Cafe,Dining_Out,MERCH_0985,5,0,2025-02-09,2025-05-22
OFFER_132,Weekend Bonanza: Get 15% Cashback at Bharat Petroleum,Fuel,MERCH_0945,15,0,2025-08-15,2026-05-06
OFFER_133,Exclusive Deal: Earn 1000 Reward Points at MakeMyTrip,Travel,MERCH_1551,0,1000,2024-10-03,2025-02-04
OFFER_134,Mega Rewards: Get 5% Cashback at Local Pub,Dining_Out,MERCH_0096,5,0,2024-10-05,2025-08-03
OFFER_135,Weekend Bonanza: Get 10% Cashback at NoBroker Rent,Rent,MERCH_1381,10,0,2025-02-15,2025-10-02
OFFER_136,Super Cashback: Earn 2000 Reward Points at iCloud Storage,Subscription,MERCH_0421,0,2000,2025-01-31,2025-04-06
OFFER_137,Exclusive Deal: Get 20% Cashback at Ola,Travel,MERCH_0380,20,0,2024-12-01,2025-06-24
OFFER_138,Super Cashback: Earn 5000 Reward Points at MakeMyTrip Flights,Travel,MERCH_0576,0,5000,2025-07-29,2026-07-14
OFFER_139,Mega Rewards: Earn 1000 Reward Points at Air India,Travel,MERCH_1789,0,1000,2025-05-12,2025-10-12
OFFER_140,Exclusive Deal: Get 15% Cashback at Groww SIP,Investment,MERCH_0156,15,0,2025-07-03,2025-09-20
OFFER_141,Mega Rewards: Earn 5000 Reward Points at Housing Rent Transfer,Rent,MERCH_0935,0,5000,2024-10-08,2025-09-15
OFFER_142,Weekend Bonanza: Earn 500 Reward Points at NPS Contribution,Investment,MERCH_0450,0,500,2024-12-14,2025-04-18
OFFER_143,Festive Special: Get 5% Cashback at Youtube Premium,Subscription,MERCH_0552,5,0,2024-11-02,2025-04-19
OFFER_144,Festive Special: Get 5% Cashback at HDFC Ergo,Insurance,MERCH_1618,5,0,2025-02-08,2025-11-23
OFFER_145,Exclusive Deal: Earn 500 Reward Points at Subway,Food,MERCH_0618,0,500,2025-03-17,2026-02-06
OFFER_146,Exclusive Deal: Get 5% Cashback at Apollo Clinic,Healthcare,MERCH_0160,5,0,2024-10-27,2025-10-22
OFFER_147,Festive Special: Get 10% Cashback at Reliance Fresh,Grocery,MERCH_1986,10,0,2024-10-27,2025-08-27
OFFER_148,Super Cashback: Earn 1000 Reward Points at Adani Electricity,Utility,MERCH_0234,0,1000,2025-04-15,2025-07-07
OFFER_149,Festive Special: Earn 500 Reward Points at Housing Rent Transfer,Rent,MERCH_0621,0,500,2025-08-03,2025-12-05
OFFER_150,Mega Rewards: Get 5% Cashback at Youtube Premium,Subscription,MERCH_1155,5,0,2025-01-01,2025-07-06
OFFER_151,Weekend Bonanza: Earn 5000 Reward Points at MakeMyTrip,Travel,MERCH_1662,0,5000,2024-11-03,2025-05-07
OFFER_152,First Time User: Get 5% Cashback at Bharat Petroleum,Fuel,MERCH_1315,5,0,2024-10-05,2025-04-27
OFFER_153,First Time User: Earn 5000 Reward Points at Spencer's,Grocery,MERCH_1051,0,5000,2025-03-07,2026-02-20
OFFER_154,First Time User: Earn 2000 Reward Points at MakeMyTrip Flights,Travel,MERCH_0576,0,2000,2025-04-27,2026-03-12
OFFER_155,Mega Rewards: Get 10% Cashback at Reliance Fresh,Grocery,MERCH_0329,10,0,2024-10-09,2025-01-13
OFFER_156,Mega Rewards: Earn 1000 Reward Points at Indian Oil,Fuel,MERCH_1194,0,1000,2025-02-06,2025-06-01
OFFER_157,First Time User: Earn 2000 Reward Points at Groww SIP,Investment,MERCH_0156,0,2000,2025-05-20,2025-10-11
OFFER_158,Exclusive Deal: Get 5% Cashback at Tata Power,Utility,MERCH_0133,5,0,2024-10-19,2025-07-10
OFFER_159,Festive Special: Earn 2000 Reward Points at Pet Shop,Other,MERCH_1685,0,2000,2025-01-23,2025-03-24
OFFER_160,First Time User: Earn 5000 Reward Points at Subway,Food,MERCH_0256,0,5000,2025-05-06,2025-09-25
OFFER_161,Super Cashback: Earn 1000 Reward Points at Society Maintenance,Rent,MERCH_0626,0,1000,2025-06-22,2025-11-01
OFFER_162,Festive Special: Get 15% Cashback at DMart,Grocery,MERCH_0723,15,0,2025-03-04,2025-12-10
OFFER_163,Weekend Bonanza: Earn 1000 Reward Points at Apollo Clinic,Healthcare,MERCH_1198,0,1000,2025-03-07,2025-07-27
OFFER_164,Weekend Bonanza: Earn 200 Reward Points at Hard Rock Cafe,Dining_Out,MERCH_1516,0,200,2025-04-25,2025-07-19
OFFER_165,Super Cashback: Get 10% Cashback at DMart,Grocery,MERCH_1522,10,0,2024-11-09,2025-05-04
OFFER_166,Mega Rewards: Earn 200 Reward Points at Hard Rock Cafe,Dining_Out,MERCH_0928,0,200,2024-11-01,2025-05-22
OFFER_167,Mega Rewards: Get 20% Cashback at Max Life Insurance,Insurance,MERCH_1686,20,0,2025-01-25,2025-11-03
OFFER_168,Exclusive Deal: Get 10% Cashback at Zoomcar,Travel,MERCH_1741,10,0,2025-01-15,2025-04-02
OFFER_169,Super Cashback: Earn 5000 Reward Points at HDFC Ergo,Insurance,MERCH_1845,0,5000,2025-07-14,2026-05-12
OFFER_170,Mega Rewards: Get 15% Cashback at H&M,Shopping,MERCH_0589,15,0,2025-07-29,2025-10-21
OFFER_171,Mega Rewards: Get 15% Cashback at Local Tailor,Other,MERCH_0404,15,0,2025-05-23,2026-05-05
OFFER_172,First Time User: Earn 500 Reward Points at Local Tailor,Other,MERCH_1762,0,500,2024-12-06,2025-09-13
OFFER_173,Mega Rewards: Get 15% Cashback at Jio Fiber,Utility,MERCH_0535,15,0,2025-01-26,2025-08-25
OFFER_174,Exclusive Deal: Earn 5000 Reward Points at Hindustan Petroleum,Fuel,MERCH_1652,0,5000,2024-11-19,2025-01-29
OFFER_175,First Time User: Get 5% Cashback at Indian Oil,Fuel,MERCH_1096,5,0,2025-04-27,2025-07-12
OFFER_176,Exclusive Deal: Earn 2000 Reward Points at Flipkart,Shopping,MERCH_0445,0,2000,2024-11-30,2025-08-08
OFFER_177,First Time User: Get 10% Cashback at Adani Electricity,Utility,MERCH_1780,10,0,2024-12-20,2025-07-21
OFFER_178,Mega Rewards: Get 20% Cashback at BookMyShow,Entertainment,MERCH_1922,20,0,2024-10-02,2025-08-28
OFFER_179,Mega Rewards: Get 20% Cashback at NPS Contribution,Investment,MERCH_0173,20,0,2024-10-18,2025-07-01
OFFER_180,Exclusive Deal: Get 15% Cashback at Nykaa,Shopping,MERCH_1982,15,0,2025-08-11,2026-07-31
OFFER_181,Super Cashback: Get 15% Cashback at Spencer's,Grocery,MERCH_1016,15,0,2025-04-26,2025-10-22
OFFER_182,Super Cashback: Get 10% Cashback at Zara,Shopping,MERCH_1918,10,0,2024-10-19,2025-09-09
OFFER_183,Exclusive Deal: Get 5% Cashback at Apollo Clinic,Healthcare,MERCH_1998,5,0,2025-06-14,2026-01-06
OFFER_184,Festive Special: Get 10% Cashback at Amity University,Education,MERCH_0651,10,0,2025-07-26,2026-02-12
OFFER_185,Mega Rewards: Get 5% Cashback at Social,Dining_Out,MERCH_0743,5,0,2024-11-26,2025-09-16
OFFER_186,Exclusive Deal: Get 10% Cashback at Disney VIP,Subscription,MERCH_0775,10,0,2025-08-12,2025-10-26
OFFER_187,Exclusive Deal: Earn 2000 Reward Points at Spencer's,Grocery,MERCH_1051,0,2000,2024-11-27,2025-09-05
OFFER_188,Super Cashback: Earn 2000 Reward Points at BookMyShow,Entertainment,MERCH_1922,0,2000,2025-04-08,2025-11-21
OFFER_189,Super Cashback: Earn 500 Reward Points at Myntra,Shopping,MERCH_1021,0,500,2024-10-04,2025-03-25
OFFER_190,Festive Special: Earn 200 Reward Points at Max Life Insurance,Insurance,MERCH_0382,0,200,2025-06-16,2025-12-04
OFFER_191,Mega Rewards: Earn 1000 Reward Points at Housing Rent Transfer,Rent,MERCH_1487,0,1000,2024-11-05,2025-05-10
OFFER_192,Mega Rewards: Earn 500 Reward Points at Amity University,Education,MERCH_0466,0,500,2025-04-24,2025-10-29
OFFER_193,Super Cashback: Earn 5000 Reward Points at Starbucks,Food,MERCH_1147,0,5000,2025-04-22,2025-09-28
OFFER_194,Festive Special: Earn 5000 Reward Points at Zoomcar,Travel,MERCH_1741,0,5000,2025-04-01,2025-09-07
OFFER_195,Festive Special: Get 15% Cashback at Housing Rent Transfer,Rent,MERCH_1066,15,0,2025-07-25,2025-11-11
OFFER_196,Festive Special: Get 10% Cashback at Blinkit,Grocery,MERCH_1559,10,0,2025-05-13,2025-08-23
OFFER_197,Mega Rewards: Get 15% Cashback at Booking.com,Travel,MERCH_1044,15,0,2025-03-21,2025-10-28
OFFER_198,Exclusive Deal: Get 15% Cashback at Shell Petrol,Fuel,MERCH_1338,15,0,2025-07-04,2025-12-30
OFFER_199,Super Cashback: Get 20% Cashback at Hard Rock Cafe,Dining_Out,MERCH_1933,20,0,2025-07-06,2026-05-14
OFFER_200,First Time User: Earn 200 Reward Points at Cred RentPay,Rent,MERCH_1186,0,200,2025-07-16,2026-02-10
OFFER_201,Festive Special: Get 20% Cashback at Zoomcar,Travel,MERCH_0411,20,0,2025-08-21,2026-05-28
OFFER_202,Festive Special: Earn 2000 Reward Points at MakeMyTrip Flights,Travel,MERCH_1448,0,2000,2025-03-25,2025-08-20
OFFER_203,Festive Special: Earn 5000 Reward Points at Hard Rock Cafe,Dining_Out,MERCH_1516,0,5000,2025-05-16,2026-05-13
OFFER_204,Weekend Bonanza: Get 5% Cashback at Housing Rent Transfer,Rent,MERCH_1538,5,0,2024-10-11,2025-09-25
OFFER_205,Exclusive Deal: Get 15% Cashback at Shoppers Stop,Shopping,MERCH_1512,15,0,2025-08-10,2025-10-13
OFFER_206,Festive Special: Get 10% Cashback at Cred RentPay,Rent,MERCH_1592,10,0,2024-10-20,2025-01-24
OFFER_207,Super Cashback: Get 20% Cashback at Local Restaurant,Food,MERCH_1187,20,0,2025-06-21,2026-03-23
OFFER_208,Exclusive Deal: Get 20% Cashback at Zara,Shopping,MERCH_1428,20,0,2025-02-11,2025-09-01
OFFER_209,Festive Special: Get 5% Cashback at Housing Rent Transfer,Rent,MERCH_1309,5,0,2025-03-19,2025-07-11
OFFER_210,Mega Rewards: Get 10% Cashback at Tata Power,Utility,MERCH_0133,10,0,2025-03-10,2025-07-22
OFFER_211,Super Cashback: Get 15% Cashback at Tata Power,Utility,MERCH_1905,15,0,2025-05-06,2025-09-29
OFFER_212,Exclusive Deal: Get 5% Cashback at Indigo,Travel,MERCH_1928,5,0,2025-08-09,2025-12-11
OFFER_213,Super Cashback: Earn 500 Reward Points at Taj Dining,Dining_Out,MERCH_0223,0,500,2025-08-05,2026-07-22
OFFER_214,Festive Special: Earn 200 Reward Points at H&M,Shopping,MERCH_0018,0,200,2025-01-30,2025-12-01
OFFER_215,Mega Rewards: Earn 5000 Reward Points at Microsoft 365,Subscription,MERCH_0381,0,5000,2025-05-22,2025-10-24
